geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
R_insula_3way,9.486835989590004,5.858216664685,1.65197252028835,0.10439873535095939,0.7482748275528106,-4.594725449718263,(Intercept),up
L_HO_amyg,5.383500319335,2.8489396370525,1.3073771929953648,0.19667603331081715,0.7482748275528106,-4.594955113487174,(Intercept),up
L_dA_insula,4.21175516809,2.24001195083,0.9404649656531535,0.3512065924380462,0.7482748275528106,-4.595147156372287,(Intercept),up
L_vA_insula,3.9072918014149978,5.506270274365,0.8224484502950864,0.4144727165666059,0.7482748275528106,-4.5951965242206185,(Intercept),up
R_vA_insula,4.36377834652,5.67196194441,0.7906117232579102,0.43266168841899,0.7482748275528106,-4.595208768284641,(Intercept),up
R_HO_amgy,2.8681066932399975,3.2593222771675,0.7625932154019588,0.4490556767003755,0.7482748275528106,-4.595219162254642,(Intercept),up
R_dA_insula,2.929089157155,1.5681284147274999,0.6417245308882519,0.5237923792869674,0.7482748275528106,-4.595259862886051,(Intercept),up
pACC,2.0008848666350003,4.9278760593449995,0.456264295117603,0.6500469770383254,0.8125587212979067,-4.595309030479218,(Intercept),up
LPR_ACC_EOS,-2.033436912150002,6.935439517,-0.34172656619756475,0.7338954794048435,0.8154394215609372,-4.595331220594578,(Intercept),down
dACC,-0.5518909774350012,-0.38387815665000014,-0.1391575816513001,0.8898481958940286,0.8898481958940286,-4.595354953762831,(Intercept),down
LPR_ACC_EOS,17.937752858299994,6.935439517,2.1447531540507856,0.03653236590359905,0.36532365903599046,-4.148725754096343,visit,up
pACC,5.853982385420003,4.9278760593449995,0.9497450430046218,0.3465129852719011,0.9215539456383509,-4.632529461792563,visit,up
R_insula_3way,-7.257238649810004,5.858216664685,-0.8991125721870183,0.3726221176641702,0.9215539456383509,-4.645513166202115,visit,down
L_HO_amyg,-5.069121364564996,2.8489396370525,-0.8758507169426702,0.38502709251597567,0.9215539456383509,-4.651252069504944,visit,down
L_dA_insula,-3.943486434519997,2.24001195083,-0.6265000281020862,0.5336514759071129,0.9215539456383509,-4.703666703455234,visit,down
L_vA_insula,3.1979569459000032,5.506270274365,0.4789241006155639,0.633944505386774,0.9215539456383509,-4.726688507664335,visit,up
R_dA_insula,-2.7219214848549993,1.5681284147274999,-0.4242803152631243,0.6730628282901342,0.9215539456383509,-4.7336772407023515,visit,down
R_vA_insula,2.6163671957800028,5.67196194441,0.3372566341501575,0.7372431565106807,0.9215539456383509,-4.743078913370569,visit,up
R_HO_amgy,0.7824311678550088,3.2593222771675,0.14801475665658537,0.8828876281296805,0.9521557285137221,-4.756140043545913,visit,up
dACC,0.33602564157000075,-0.38387815665000014,0.060281942293870204,0.9521557285137221,0.9521557285137221,-4.75874374601336,visit,up
